989291003717799936,"How a Syria Airstrike Got Help From Space: A glimpse at the early days of a new kind of space war, where 30-somethi… https://t.co/9paXqGLw4A","JT Badenov","2018-04-25","Colorado"
986197002793967616,"\"Trump concluded that [sanctions] were unnecessary because Moscow’s response to the airstrike was mainly bluster, t… https://t.co/OrUNznXjJG","Stewie","2018-04-17","Connecticut"
986607224553226240,"Tucker Carlson REACTS To The Airstrike On Syria 2018 https://t.co/m6if2CKsl2 https://t.co/eGROwgaKUu","shana wilcox","2018-04-18","Delaware"
987474757686788096,"Wait? Run? Views From Below a Syria Airstrike - The New York Times https://t.co/UpXps5QLd9","","2018-04-20","Florida"
988826890751406080,".@CJTFOIR just unclassified &amp; released new footage of strikes in #Syria. #WATCH video #2 of an #AirStrike April 17… https://t.co/ulSW2IOJYQ","Jodi Mohrmann","2018-04-24","Florida"
986180001300189184,"'EXPLOSION' at ISRAELI held area of Golan Heights near Syria border after AIRSTRIKE https://t.co/u6EKFf3kV0","Flavio Antonino","2018-04-17","Florida"
986183729554042880,"El coronel si tiene quien le escriba : Syria AIRSTRIKE – Military responds to 'ISRAELI AT...… https://t.co/G2t34GmT0E","Octavio Perez","2018-04-17","Florida"
988825360929378304,".@CJTFOIR just unclassified &amp; released new footage of strikes in #Syria. #WATCH video #1 of coalition military forc… https://t.co/7g6rmkBK7f","Jodi Mohrmann","2018-04-24","Florida"
989262876190892032,"Satellites Serving As A Force Multiplier In Syria Conflict\
https://t.co/Z1nWVYxE29","Jay Wittner","2018-04-25","Florida"
986138823364108288,"Russia says Israel was behind Syria airstrike https://t.co/xS7dyoJSQm","Sue Hayes","2018-04-17","Florida"
986252165047050241,"Was airstrike in Syria a diversion to help Russia &amp; Assad clean out ISIS and the rebels? https://t.co/CPCuTGmGbC","Bernie","2018-04-17","Florida"
986260348910145538,"Iran Threatens Israel With Revenge for Syria Airstrike That Killed Drone Commander - Newsweek-Keep FN with Israel a… https://t.co/yV0PkCn5NA","","2018-04-17","Florida"
989286789251772418,"https://t.co/ZCcuNAEN75\
This New York Times article argues the recent missile strikes on Syria didn't deter Assad n… https://t.co/t133i3ovzg","The Syrian Discussion","2018-04-25","Florida"
986375883094183936,"UK's May rejects criticism over Syria airstrike decision https://t.co/N5AWVb3Fth","WGAUradio","2018-04-17","Georgia"
986296720911994880,"1. https://t.co/f4WAoBXm5h how could this be? he we were tying to cripple assad why has he recovered so quickly? it… https://t.co/5rAOKY89RY","h","2018-04-17","Georgia"
988827253252481024,"Coalition #airstrike destroys #Daesh headquarters near Abu Kamal, #Syria on April 17 ... https://t.co/SDmCdR9VNT https://t.co/ZTgvTcYUu7","DVIDSHub","2018-04-24","Georgia"
986159062449455104,"@realDonaldTrump @IsraeliPM #Bibi #FULLSTOP ON YOUR OWN! Syria AIRSTRIKE – Military responds to 'ISRAELI ATTACK' in… https://t.co/LBzc9dzNWi","Trmpwin","2018-04-17","Hawaii"
986292763363815425,"\"UK's May Rejects Criticism Over Syria Airstrike Decision\" by THE ASSOCIATED PRESS via NYT https://t.co/17MmFuoeCr","Valerie Harrison","2018-04-17","Idaho"
989981578641145856,"How much more can we take as he uses the power of the office to fill his pockets??\
Trump Caught Making Money Off Co… https://t.co/rjBbLVBTUl","Amici Journal","2018-04-27","Illinois"
987743336432730112,"German Parliament Lawyers Brand US-Led Airstrike On Syria Illegal\
https://t.co/npODRLnCsg https://t.co/WtniamHgY5","Massah D","2018-04-21","Illinois"
987051393067319296,"Trump's U.S.-led airstrike on Syria won't stop Assad's chemical capabilities, experts say\
https://t.co/orxjLXYElR https://t.co/KFsOzX8DAh","Massah D","2018-04-19","Illinois"
989983812288483328,"Trump Caught Making Money Off Company Used In Syria Airstrike; Stock Prices Skyrocket\
President Donald Trump promis… https://t.co/Eq4eOMXhC7","Amici Journal","2018-04-27","Illinois"
988391942999494656,"@jonsherred @tlccourville @NPR Are you drunk? Like Hillary Clinton gives a shit about Syria today well she’s hangin… https://t.co/va6eJlqNKJ","Potentium Podcast","2018-04-23","Illinois"
989985402403676160,"FYI #Enough\
Trump Making Money Off Company Used In Syria Airstrike; Stock Prices Skyrocket Trump promised to hand t… https://t.co/J8CuRsheoF","Amici Journal","2018-04-27","Illinois"
986200031916150785,"False alarm, not outside attack, sets off Syria air defenses https://t.co/XSpAPtuKrz","newsperplexed","2018-04-17","Illinois"
986357385336885249,"Iran Threatens Israel With Revenge for Syria Airstrike That Killed Drone Commander https://t.co/NVgvtcbDTb","K Lewis","2018-04-17","Illinois"
988565194866601985,"Haaretz: Iraq Claims Airstrike On Syria Killed 36 ISIS Militants\
\
An Iraqi airstrike in Syria on April 19 has kille… https://t.co/67tqgcZitN","BetsyAnn","2018-04-23","Illinois"
988466278909132801,"USA settles gymnastics lawsuit, Russia defends US in case of Syria airstrike&amp; more. Here's your weekly news briefs.… https://t.co/8aoIwusy8s","The DePaulia","2018-04-23","Illinois"
989316421086797825,"Wait? Run? Views From Below a #Syria Airstrike  https://t.co/BuehoaqF90","Naeem","2018-04-26","Illinois"
986950542420271105,"In the latest #airstrikes on #Syria, much of the international attention is fixed on national players.\
\
However, th… https://t.co/hH2cigOwV2","Mission Network News","2018-04-19","Illinois"
987331331435659264,"Allied airstrike on Syria socked the mullahs inside Iran, too https://t.co/s3VRkf1sia","Norman Firebaugh","2018-04-20","Kansas"
987678547211845632,"German Parliament Lawyers Brand US-Led Airstrike on Syria Illegal - https://t.co/VZmpF5AeOY","InvestmentWatch","2018-04-21","Kansas"
986354621734989824,"Trump gave approval for new #Russia #sanctions as part of Syria airstrike plan. Three administration officials say… https://t.co/h97tXV1Ucz","Julia Davis","2018-04-17","Kansas"
986299475114143744,"Iran Threatens Israel With Revenge for Syria Airstrike That Killed Drone Commander https://t.co/4wpfaGLeDV","Red Pill Black Man","2018-04-17","Kansas"
986299839502692352,"Iran Threatens Israel With Revenge for Syria Airstrike That Killed Drone Commander https://t.co/cuCIEn1Psu via @yahoo","Celtic Crab","2018-04-17","Kansas"
986479483883573248,"ABC News: UK's May rejects criticism over Syria airstrike decision. More #news - https://t.co/ynN6Eq1vIL","1stHeadlines","2018-04-18","Kansas"
987315196107640832,"Allied airstrike on Syria socked the mullahs inside Iran, too https://t.co/iwehrqzuCG via @AmericanThinker @realDonaldTrump","Susan Lempke","2018-04-20","Kansas"
986886926711091200,"(Russian Channel Warns Ready For World War 3 | US Airstrike On Syria Hindi/Urdu || Syria Latest News) -… https://t.co/nS6e6K1P9P","Top Global News","2018-04-19","Kansas"
987050341597409280,"","political HEDGE","2018-04-19","Kansas"
986868155795599360,"How the latest airstrike in Syria affects Syrian refugees https://t.co/cM2S1098hb","KiteSurfer Life","2018-04-19","Kansas"
986367077383630848,"Were Trump's recent air strikes in Syria legitimate? Were they legal? Check out my analysis in the article below.… https://t.co/5QWmtZRzOc","Jake Goldberg","2018-04-17","Kansas"
987269976078905344,"","political HEDGE","2018-04-20","Kansas"
986181701297729536,"Syrian Independence Day Facts: Syria Celebrates Freedom From France Days After Airstrike - Newsweek https://t.co/EkvRCgau5z","","2018-04-17","Kansas"
986289510244904960,"IRAN THREATENS ISRAEL WITH REVENGE FOR SYRIA AIRSTRIKE THAT KILLED DRONE COMMANDER||World News Radio: https://t.co/CEdGZdUOaL via","World News Radio","2018-04-17","Kansas"
989513171588255744,"Very sensible behavior, at last. #Baghdadi is the enemy of all HUMANITY: \"The involvement of the U.S. and Syria in… https://t.co/Z3yJwyQYk8","Ian Wilkie","2018-04-26","Kansas"
988469280797855744,"#ISIS Backers #Saudi-led airstrike at #Yemen wedding killed at least 20. https://t.co/kawR186q31 Just another day f… https://t.co/l8G9Wan8d5","Kobeissi™","2018-04-23","Kansas"
989981518553583616,"Oh Really https://t.co/qxU9SOyHGC","Amazin","2018-04-27","Kansas"
986137524367167488,"News Analysis: After U.S. Strikes, Syria Returns to War as Usual https://t.co/NAyQkWg2aO","WORLD NEWS","2018-04-17","Kansas"
986404076148723712,"Trump gave approval for new Russia sanctions as part of Syria airstrike plan https://t.co/Gqm5sdxObA","BlurbBoard","2018-04-18","Kansas"
986125262638198784,"'EXPLOSION' at ISRAELI held area of Golan Heights near Syria border after AIRSTRIKE THE NEWS - GROUP OF WORLD -… https://t.co/EXET2k9k1i","Newsgw","2018-04-17","Kansas"
986960956981886976,"U.S., U.K. And France during Syrian airstrike targeted Syrian Military  Bases NOT “deep state” like some of you kee… https://t.co/YIsoTSHmKr","Tamara (Tam) NoWar","2018-04-19","Kansas"
987049445446500352,"@jseldin Did you let them know not to do an airstrike in Syria?","Dreamland Story","2018-04-19","Kansas"
989958969002147840,"@realDonaldTrump issued another airstrike in Syria this past weekend... How many more innocent civilians have to di… https://t.co/EYv641XxTz","Peace Pledge","2018-04-27","Kansas"
986273101095686144,"Iran Threatens Israel With Revenge for Syria Airstrike That Killed Drone Commander - Newsweek https://t.co/s6jdN7sunk","Brian Hubbs","2018-04-17","Kansas"
986198682876956672,"Latest Airstrike Against Syria Appears to be the Israelis https://t.co/DYlBboQQgP https://t.co/7fsBl8Esf4","Special Operations","2018-04-17","Kansas"
986138261981679616,"NBCNEWS reports Military and Middle East experts say the predawn onslaught appears to have been little more than an… https://t.co/alzNZaGdjq","","2018-04-17","Kansas"
986427878119297024,"That's why all 105 missiles of US, UK and France military hit the targets in #Syria. It lookslike #Israel eliminate… https://t.co/kxKIteZcXA","Viktor Kovalenko","2018-04-18","Kansas"
989138778433445888,"#SMM☛https://t.co/rx24DMATg1 + Russia hints it may provide advanced air defenses to Syria https://t.co/jmlU6Cdv7i","Web Marketing Buzz","2018-04-25","Kansas"
986133697027104768,"Syria AIRSTRIKE – Military responds to 'ISRAELI ATTACK' in Damascus and Homs THE NEWS - GROUP OF WORLD -… https://t.co/MqtEEItKJ0","Newsgw","2018-04-17","Kansas"
986503626855276544,"UK's May rejects criticism over Syria airstrike decision https://t.co/6tfxURLoPk","Twitcher ❦","2018-04-18","Kansas"
989132059481436161,"#SMM☛https://t.co/4S6v7cDCCX + Russia hints it may provide advanced air defenses to Syria https://t.co/uJHVRDKrkC","Web's Eye View","2018-04-25","Kansas"
